orginal,translation
어로셔 면쥬인은 불속이 오단 말고,어디에서 면주인面主人은 불청객이 온단 말인가
쟌기츰 굵은 호령 반졀은 무 일고,잔기침 굵은 호령 반절은 무슨 일인가
어셔 나소 자로 나소 반인들 내몰손가,어서 나소 자주 나소 반객反客인들 내몰까
환  부셰 젼령 응당 구실 말냐 가,환곡 배자 부세賦稅 전령 응당 역할 말라 할까
향쳥 분부 작쳥 구쳥 원님인들 어이 알리,향청鄕廳 분부 작청作廳 구청求請 원님인들 어찌 알까
ꢀ 집의 세네 군포 제 구실도 못 ꢁ거든,한 집에 세네 군포 제 구실도 못 하거든
사돈일지 권당일지 일족 무리 더옥 셜위,사돈인지 친척인지 일족 무리 더욱 설워
져 너머 십여 호가 어젯밤의 닷단 말가,저 넘어 십여 집이 어젯밤에 도망갔단 말인가
뉘라셔 우리 뎡상 그려다가 구듕궁궐의 님 계신  드리리.,누가 우리 모습 그려다가 구중궁궐의 님 계신 곳 드릴까.
이 몸이 쓸듸 업셔 聖上이 바리시니,이 몸이 쓸데 없어 임금이 버리시니
富貴를 下直ꢀ고 貧賤을 樂을 삼아,부귀를 하직하고 빈천을 낙을 삼아
數間茅屋을 山水間의 지어 두고,수간모옥을 산수간에 지어 두고
三旬九食을 먹그나 못 먹그나,삼십일에 아홉 끼를 먹으나 못 먹으나
十年一冠을 쓰거나 못 쓰거나,십년에 한 번도 갓을 쓰거나 못 쓰거나
分別이 업셔시니 是非을 뉘 알손야,분별함이 없으니 시비인들 있을소냐
만을 다 이즈니 一身이 閑暇ꢀ다,인간만사 다 잊으니 일신이 한가하다
靑松亭下의 혼자 안자 바라보니,푸른솔 정자 아래 혼자 앉아 휘파람 부니
壺裡乾坤의 석양이 거의로다,호리병속의 세상 석양이 거의로다
逸興을 못 이긔여 달발을 놉피 것고,일흥을 못이기어 달발을 높이 걷고
遠近山川을 一望의 다 드르니,원근산천이 한 눈에 들어오니
地勢도 조커니와 風景도 그지업다,지세도 좋거니와 풍경도 끝이 없다
霞鶩은 齋飛ꢀ고 水天이 一色인져,물오리 나란히 나르고 수천이 일색인데
南北村 두셰 집이 暮煙에 잠겨셔라,남북촌 두어집이 저녁 연기에 잠겼구나
三山은 어듸메요 武陵이 여긔로다,삼신산이 어디메요 무릉이 여기로다
無心ꢁ 져 구름은 翠峀293)을 잠가294) 있고,무심한 저 구름은 푸른 계곡을 휘감고
有意ꢁ 갈마기는 白沙의 버러잇다,의한 갈매기는 백사장에 버러있다
아의 온 을 點心의 다 먹근 後의,아침에 캐온 취나물 점심에 다 먹으니
일 업시 논일면서 夕釣을 말냐ꢀ고,일 없이 놀면서 저녁 낚시 하려고
낙를 두리 메고 釣臺로 나려가니,낚시대 둘러매고 조대로 내려가니
흐르느니 물결이요 노느니 고기로다,흐른 것이 물결이요 뛰는 것이 고기로다
銀鱗玉尺을 버들 움에 여 들고,은린옥척을 버들가지에 꿰어 들고
落照淸江의 寂寞히 도라오며,저녁 햇볕 청강에 적막히 돌아오니
山歌村笛을 漁父詞로 화답ꢀ니,산가촌적을 어부사로 화답하니
西湖梅鶴은 겨로지 못하여도,서호매학과 겨루지는 못하여도
曾點의 詠而歸야 이에셔 더손냐,증점의 영이귀가 이보다 더할소냐
箕山潁水의 巢許의 몸이되여,기산영수의 소부와 허부 되어
千駟을 냉소ꢀ고 萬鍾이 草芥로다,부귀를 냉소하고 고귀함을 멀리하여
 살리 淡薄ꢀ니 어늬 버지 오리,살림살이 가난하니 어느 벗이 찾아올까
瓦樽의 濁醪를 瓢杯의 가득 부어,술동에 익은 탁주 박잔에 가득부어
淸風의 半醉ꢀ고 北窓下에 누어시니,맑은 바람에 반취하여 북창아래 누었으니
無懷氏 젹 백성인가 葛天氏 젹 사람인가,무회씨 때 사람인가 갈천씨 때 사람인가
人間 風雨中의 擾亂ꢁ 져 奇別을,세상 풍우중에 요란한 저 소식을
들은 듯 못 들은 듯 아는 듯 모르는 듯,들은 듯 못 들은 듯 아는 듯 모르는 듯
누오면 잠이요 깬 후엔 이러 앉아,누우면 잠이고 깬 후에는 일어나 앉아
黃庭經 숀에 쥐고 紫芝曲 노하니,황정경 손에 들고 자지곡을 노래하니
四皓가 다셧시요 三隱이 네히로다,사호가 다섯이요 삼은이 넷이로구나
滔滔한 風味를 닷토리 뉘 이시리,도도한 풍미를 다툴 이가 있겠는가
落落雲踪을 조차리 뉘 이시리,흩어지는 구름을 좇을 사람 누구일까
歷代를 按鑑하야 녯 사람 혜어하니,여러 대를 살펴 옛 사람 헤아려 보니
周時 呂尙도 渭水에 고기 낙고,주나라 여상은 위수에서 고기를 낚고
漢代 諸葛亮은 南陽의 밧츨 가니,한나라 제갈양은 남양에서 밭을 가니
이 아니 그 따이며  아니 긔돗던가,이곳이 그곳이며 내가 바로 그로구나
람은 古今이나 지야 다를손냐,사람은 고금이라도 뜻이야 다를까
富貴를 다 니지니 榮辱을 모르겠도다,부귀를 다 잊으니 영욕을 모를로다
狐狢을 모르거든 幣布을 붓그리랴,좋은 옷 못 입어도 누추한 옷을 부끄러 하랴
皇扉의 벗님야 이  柴扉 웃지마쇼,고귀한 벗님내야 가난한 삶을 비웃지 마라
靑雲326)은 뎨 즐겨도 白雲은 내 조해라,청운은 저들 것이라도 자연의 삶은 내 것이라
竹杖芒鞋로 分數로 집고 신고,대지팡이와 짚신을 본대로 짚고 신고
千山 萬水間에 슬토록 오며 가며,많은 산과 물가를 싫도록 오고 가며
잇으면 粥이요 업스면 굴믈망뎡,있으면 죽이요 없으면 굶을망정
갑업순 江山風月과 함께 늙쟈 하노라,값 없는 강산풍월과 함께 늙자 하노라
나라히 무ꢀ야 이 년이 너머드니,나라가 무사하여 이백 년이 넘어드니
文恬武嬉ꢀ야 兵革을 니젓다가,태평 세월에 병란을 잊었다가
時維 乙卯ㅣ오 歲屬三夏애,시유 을묘요  세속삼하에
島寇 雲翔ꢀ니 수 뉘 혜려요,왜구가 구름처럼 일어나니 배 수를 누가 셀까
혜욤 업 뎌 兵使야 네 딘을 어 두고 達島로 드러간다,생각없는 저 병사야 네 진을 어디 두고 달도로 들어갔느냐
옷 버서 乞降이 처엄 과 다셰고,옷 벗어 항복하니 처음 뜻과 다르구나
父母 妻子을 뉘 아니 두어실고,부모 처자를 뉘 아니 두었을까
칼 맛거니 살 맛거니 枕屍遍野ꢀ니,칼 맞고 살 맞은 시신이 들에 넘쳐나니
어엿샤 南民이야,가련하다 남민이여
賊勢乘勝ꢀ야 十城을 連陷ꢀ니,적세가 승승하여 십성을 연해 떨어뜨리니
峯峯이 候望이오 골골이 兵火로다,봉봉이 후망이요 골골이 병화로다
桓桓 老將과 一介書生이,용맹한 노장과 일개 서생이
紫霞을 득 부어 北關의 拜辭ꢀ니,누하주 가득 부어 북궐에 배사하니
우리 집을 다 닛과다,우리 집을 다 잊겠다
天作高山ꢀ야 月出是崇ꢀ니,천작 고산하여 월출의 산세 험한데
靈岩 巨鎭애 사흘만의 오단 말가,영암 큰 진에 사흘만에 왔단 말인가
先生 創業ꢀ샤 丕基 두겨시니,선왕 창업하셔 기반을 닦아 두셨으니
軍政도 이시며 紀律도 업건마,군정도 있으며 기율도 없건마는
不敎ꢁ 軍卒과 齟齬ꢁ 器械로 大事 엇디려요,미숙한 군졸과 엉성한 기계로 대사를 어찌 하려오
블티 밤티 가라재 山路ㅣ 嵯峨ꢀ고 草樹茂密ꢁ ,불치 밤치 가라재 산길이 험하고 초목이 빽빽한데
업더니 닐고 굿보리 라오니,엎어진 이 일으켜 세우고 굿볼 이 달려오니
淸風院 普賢院을 瞬息間의 오도고야,청풍원 보현원을 순식간에 오는구나
朱盾이 騰羅ꢀ고 白刃 交揮어,붉은 방패 높이 들고 흰 칼날 부딪쳐
主將 三令ꢀ고 從事 五申ꢀ니,주장은 삼령하고 종사는 오신하니
大軍 肅肅ꢀ고 士士 駟馬 규규어,대군은 엄숙하고 군사 전마 용맹하거늘
東城애 티라 賊兵을 구버보니 已在目中이로다,동성에 치달아 적병을 굽어보니 이미 눈앞이로다
閟彼明宮이 先聖의所享이오 學士의 攸墍어,깊이 닫힌 사당은 공자 모신 곳이자 선비의 수양처인데
爰居爰處ꢀ야 汚穢庭廡ꢀ니,여기저기 머무르며 사당을 더럽히니
劇賊의 無道ㅣ 庚午年도 이러턴가,극악한 적의 무도함이 경오년에도 이렇던가
노프나 노픈 재 향교 뒤 향교 뒤해 잇단 말가,높디높은 재 향교 뒤에 있단 말인가
賊徒 隳突ꢀ야 烏鵲戱 倡優戱 萬具 齊發ꢀ니 聲振一城이로다,왜구들 돌진하니 법석대고 온갖 군기 펼치는 소리로 성이 진동하도다
軍士야 두려 마라 裨將아 니거스라,순사야 두려워 마라 비장아 가자꾸나
賊謀不測이라 一陣은 徘徊ꢀ고 一陣은 行軍ꢁ다,적의 계책 불측이라 한 무리 배회하고 또 한 무리는 행군한다
錦城 橫截ꢀ야 茅山으로 도라드니 元帥府애 갓갑도다,금성을 가로질러 모산으로 돌아드니 원수부에 가깝도다
皮轢轅門이 이대도록 ꢀ단 말가,군영을 능멸함이 이토록 심하단 말인가
鷹揚隊 風馬隊 左花列 右花列 一時躍入ꢀ니,응양대 풍마대 좌화열 우화열 일시에 뛰어드니
炮火ㅣ 雹散이오 怒濤飛雪이오 射矢如雨로다,포화가 우박이 흩어지듯  성난 파도 눈 날리듯  화살은 비오듯 하도다
莫我敢當이어 어라 드러온다,나를 감당할 수 없거늘 어디라고 들어오느냐
長槍을 네 브린다 大劒을 네 다,장창을 네 브리느냐 대검을 네 쓰느냐
칼 마자 사더냐 살 마자 사더냐,칼 맞아 살더냐 살 맞아 살더냐
天兵四羅 ꢁ 내라 어 갈다,우리 병사 포위하니 내달아 어디 가리
春蒐夏苗와 秋獵冬狩 龍眠妙手333)로,봄 사냥 여름 사냥 가을 사냥 겨울 사냥을 용면 묘수로
山行圖를 그려내다 이 미 쉬오랴,산행도를 그려낸들 이 같이 쉬우랴
金鼓爭擊ꢀ니 勝氣塡城이오 猛士飛揚ꢀ야 執訊 獲醜로다,징과 북을 두드리니 성엔 승기 가득하고 용맹한 군사들 적들을 사로잡네
旌旗을 보와 ꢀ니 니니 賊首ㅣ오,깃발을 보아하니 매단 것 적의 머리요
東城 도라보니 히니 賊屍로다,동성 돌아보니 쌓인 것이 적의 시체로다
日ㅣ 夕矣 兵苦 馬疲ꢀ야 不得盡殲이야 닐너 므슴 ꢀ리오,날이 저물고 병사와 말이 피곤하여 다 섬멸하지 못함이야 일어 무엇하리오
裨將아 올나가 獻馘王庭 ꢀ고랴,비장아 올라가 머리를 바치고 임금께 고하거라
崎嶇 峻阪애 馳射擊刺 다 아라 가니라,기구 준판에 치사 격사를 다 알아 가느니라
賊屍 收拾ꢀ야 京觀 是封ꢀ나,적의 시신을 수습하여 무덤을 만드니
德津橋 上의 녜 업던 새 뫼히여,덕진교 위쪽에 예 없던 새 산이여
어제 일 각거든 急遽도 셰이고,어제 일 생각하면 급하기도 하였구나
連戰 不利ꢀ니 下有元帥 上有聖主人 므어시라 오려뇨,싸움마다 불리하니 원수는 임금께 무엇이라 아뢸까
廉頗ㆍ李牧이면 수이 아니 가마,염파 이목이면 쉽게 아니할까마는
馬援 瞿鑠을 어늬 스츼 발흘 뵐고,마원의 노익장을 어느 때 자랑할까
先王이 在天이시고 我王이 聖明이시니,선왕은 하늘에 있고 우리 임금 어지시니
靈岩 一捷은 우리 功이 아니로다,영암의 큰 승리는 우리 공이 아니로다
眷右下民ꢀ샤 全我三軍ꢀ시니 先王이 孔靈이샷다,백성을 돌보시어 삼군을 보전하니 선왕의 신령함이도다
邦國이 有慶ꢀ야 將士ㅣ 蹈舞ꢀ니 我王은 萬歲쇼셔,나라가 경사로워 군사들이 춤을 추니 우리 임금 만세로다
月出이 놉단 말가 德津이 단 말가,월출산이 높단 말인가 덕진이 맑단 말인가
天雨 洗兵ꢀ야 海岱 永淸ꢀ니,천우 세병하여 전란이 그쳤으니
壯士 喧呼ꢀ야 歡聲이 四合이로다,군사들 환호하여 탄성이 사방에 가득하도다
士女百姓하 어 어가 잇다가 모다곰 오다,남녀 백성들아 어디어디 가 있다가 모두 다 오느냐
禾穀이 離離ꢀ고 桑麻이 芃芃이로다,곡식은 알차고 뽕과삼은 무성하니
國富 民安ꢀ야 太平을 ꢀ리로다,나라는 부강하고 백성이 편안하여 태평하리로다
安不忘危라 이긔과라 마로시고,안불망위라 이겼다고 자만하지 마시고
膳甲兵 修器械農을 兼理ꢀ샤 軍政을 키샤 禮義로 알외쇼셔,병사에 권하여 병기를 정비하고 농사를 아울러서 군정을 밝히시되 예의로 아뢰소서
親其上 事其長이 긔 아니 됴흐닛가,웃어른 공경함이 그 아니 좋으리까
不敎而戰이오 進之以殺이면 罔民이 아니닛가,안 가르치고 전쟁에 내보내 죽게 하면 백성을 속이는 것이 아닙니까
夜歌을 激烈ꢀ니 어릴셔 이 몸이여,승전가 드높으니 어리석다 이 몸이여
忠心애 憂國一念이야 니칠 스치 업서이다,충심에 우국의 한 마음이야 잊힐 때 없소이다
平生 病이 잇셔 온갓 풀을 다 맛보니,평생에 병이 있어 온갖 풀을 다 맛보니
人蔘 蒼朮 遠志 菖蒲 鄕藥方의 ꢀ엿거,인삼 창출 원지 창포 향약방으로 하였거늘
三年을 長服ꢁ 七年 病을 말긴숀야,삼년을 장복한들 칠년 병을 말릴까
南方셔 나온 풀이 靈異ꢀ다 有名커,남방에서 나온 풀이 영이하다 유명하거늘
花階 조히 고 藥欄을 놉피 비겨,꽃 계단을 깨끗이 쓸고 약초밭 난간을 높이 비껴
梅花雨   後의 花草좃차 셧거 심거,장맛비 갓 갠 후에 화초까지 섞어 심어
薰風의 라여 甘露를 맛쳐니,따뜻한 바람에 자라나서 이슬을 맞혔더니
翠鳳의 리 치 프고 프 닢을,봉황의 꼬리 같이 푸르고 푸른 잎을
黃鶴의  치 누러케 킈워여,황학의 날개 같이 누렇게 키워내어
먹던 챠 물리치고 試驗ꢀ야 맛슬 보니,먹던 차 물리치고 시험하여 맛을 보니
燻燻한  ꢁ 줄긔 喉舌의  너무며,훈훈한 냄새 한 줄기 코와 혀에 갓 넘으며
氤氳ꢁ 氣運이 膓腑에 득ꢀ니,화창한 기운이 내장에 가득하니
從前 힌 痰이 ꢁ 예 다 리게,이전에 쌓인 담이 한 때에 다 내리고
宿病이 다 調和ꢀ니 ꢁ 興을 이라리라,오랜 병이 다 조화로워 또한 흥을 이루리라
靑樓 근 달의 긔리던 님 만나보니,청루 밝은 달에 그리던 님 만나보니
芙蓉帳 寂寞ꢁ듸 온 辭緣 다 ꢀ면셔,연꽃 수놓은 장막 적막한데 온갖 사연 다 하면서
沈香 가 刀磨 燈盞 압프 내여놋코,침향으로 만든 가는 도마 잔등 앞에 내어놓고
